구분,지자체명(기관명),지원대상,용도,지원한도,이차보전,추천기관,관리점,취급점
1,강릉시,강릉시 소재 중소기업으로서 강릉시장이 추천한 자,운전,추천금액 이내,3%,강릉시,강릉지점,강릉시 소재 영업점
2,강원도,강원도 소재 중소기업으로서 강원도지사가 추천한 자,운전,8억원 이내,3%~5%,강원도,춘천지점,강원도 소재 영업점
3,거제시,거재시 소재 중소기업(소상공인 포함)으로서 거제시장이 추천한자,운전,3억원 이내,2.5%~5.0%,"거제시, 경남신용보증재단",거제지점,"거제시, 통영시에 소재영업점"
4,경기도,경기도 소재 중소기업으로서 경기도지사가 추천한 자,운전 및 시설,300억원 이내,0.3%~2.0%,경기신용보증재단,경수지역본부,전 영업점
5,경상남도,경상남도 소재 중소기업으로서 경상남도지사가 추천한 자,운전 및 시설,8억원 이내,1.5%~3.5%,경상남도,창원지점,전 영업점
6,경상북도,경상북도 소재 중소기업으로서 경상북도지사가 추천한 자,운전,5억원 이내,3.0%~4.0%,경상북도,대구경북동부지역본부,전 영업점
7,경주시,경주시 소재 중소기업으로서 경주시장이 추천한 자,운전,5억원 이내,3.00%,경주시,대구경북동부지역본부,경주시 소재 영업점
8,고양시,고양시 소재 중소기업으로서 고양시장이 추천한 자,운전,3억원 이내,2.0%~3.0%,고양시,일산마두지점,전 영업점
9,광명시,광명시 소재 중소기업으로서 광명시장이 추천한 자,운전,3억원 이내,2.00%,광명시,광명지점,전 영업점
10,광양시,광양시 소재 중소기업(소상공인 포함)으로서 광양시장이 추천한자,운전,2억원 이내,3.0%~4.0%,광양시,광양지점,광양지점
11,광주광역시,"광주광역시 소재 중소기업(소상공인, 벤처기업 포함)으로서 광주광역시장이 추천한자",운전,5억원 이내,2.0%~3.0%,"광주광역시 경제고용진흥원, 광주신용보증재단, 광주광역시",호남지역본부,전 영업점
12,구미시,구미시 소재 중소기업으로서 구미시장이 추천한 자,운전 및 시설,5억원 이내,2.5%~3.5%,"구미시중소기업협의회, 구미시기업사랑본부",구미지점,구미시 소재 영업점
13,군산시,군산시 소재 중소기업(소상공인 포함)으로서 군산시장이 추천한 자,운전 및 시설,5억원 이내,3.0%~6.0%,"군산시, 전북신용보증재단",군산지점,군산시 소재 영업점
14,김제시,김제시 소재 중소기업으로서 김제시장이 추천한 자,운전,2억원 이내,3.00%,김제시,호남지역본부,전주지점
15,김천시,김천시 소재 중소기업으로서 김천시장이 추천한 자,운전,5억원 이내,4.00%,김천시,김천지점,전 영업점
16,김포시,김포시 소재 중소기업(소상공인 포함)으로서 김포시장이 추천한 자,운전,2억원 이내,1.50%~2.0%,김포시,김포지점,김포시 관내 영업점
17,김해시,김해시 소재 중소기업(소상공인 포함)으로서 김해시장이 추천한 자,운전 및 시설,3억원 이내,2.0%~2.5%,"김해시, 경남신용보증재단 김해지점",김해지점,전 영업점
